,Provincia,Depto,Población,Cantidad de hogares,Hogares con agua corriente de red (%),Hogares con cloacas (%),Hogares con gas de red (%),Hogares con acceso a internet (%),Población con vivienda propia (%),Población inquilina (%),Escolaridad de menores de entre 3-17 años (%),Población sin cobertura de salud (%),Latitud,Longitud
291,LA PAMPA,CHICAL CO,1466,541,81.0,1.7,25.9,60.8,77.6,9.3,95.5,51.3,-36.3979,-67.69539
292,LA PAMPA,CONHELO,15186,6150,58.4,58.9,88.5,81.8,70.4,14.8,97.3,36.9,-36.03154,-64.5106
293,LA PAMPA,CURACÓ,1116,460,83.3,2.4,3.7,64.1,62.5,12.7,93.1,44.4,-38.17974,-66.33013
294,LA PAMPA,GUATRACHÉ,9517,3931,82.3,5.2,82.6,77.0,70.6,14.4,74.4,37.1,-37.48365,-63.78131
295,LA PAMPA,HUCAL,7787,3443,89.6,1.9,86.8,79.6,70.1,15.2,96.7,31.3,-37.97923,-63.95448
296,LA PAMPA,LIHUEL CALEL,443,179,55.3,0.0,2.2,45.8,56.7,6.5,93.8,34.1,-38.26166,-65.09663
297,LA PAMPA,LIMAY MAHUIDA,423,188,63.3,0.0,0.0,54.3,62.9,4.7,94.9,37.6,-37.2419,-66.55523
298,LA PAMPA,LOVENTUÉ,9322,3656,88.2,48.1,84.6,78.6,72.6,11.2,97.1,38.7,-36.47877,-65.53297
299,LA PAMPA,MARACÓ,69514,26792,86.5,89.0,93.5,87.2,65.2,22.5,95.9,29.5,-35.67962,-63.66249
300,LA PAMPA,PUELÉN,11654,4097,82.1,69.9,80.0,79.4,65.3,20.0,95.0,36.9,-37.43418,-67.60496
301,LA PAMPA,QUEMÚ QUEMÚ,8460,3367,87.8,16.9,88.5,80.8,69.8,13.6,95.6,30.7,-36.13064,-63.66374
302,LA PAMPA,RANCUL,11133,4173,82.9,1.7,86.2,80.6,71.8,12.8,96.1,41.7,-35.40159,-64.80149
303,LA PAMPA,REALICÓ,17470,6735,77.1,64.8,94.1,81.2,71.0,16.8,95.5,33.6,-35.22579,-64.21023
304,LA PAMPA,TOAY,18029,6416,60.9,53.4,82.8,90.8,72.6,13.9,96.7,27.5,-36.66216,-64.69221
305,LA PAMPA,TRENEL,5702,2257,72.0,60.2,88.8,80.5,71.2,16.2,94.8,35.4,-35.63188,-64.21438
306,LA PAMPA,UTRACÁN,17802,6741,92.8,74.4,86.3,83.2,66.0,17.9,95.9,37.4,-37.33388,-65.08283
307,LA RIOJA,ARAUCO,16257,5211,88.8,9.2,2.6,61.3,81.9,9.4,92.8,51.8,-28.53307,-66.71915
308,LA RIOJA,GENERAL ÁNGEL V. PEÑALOZA,3185,1021,80.8,31.0,0.4,49.5,88.4,3.3,96.8,46.3,-30.3129,-66.66305
309,LA RIOJA,CAPITAL,211651,70016,96.1,84.4,18.0,81.4,74.9,13.8,95.5,37.4,-29.46049,-66.35251
310,LA RIOJA,CASTRO BARROS,5810,1977,91.6,2.5,2.4,64.8,71.4,8.5,89.9,35.5,-28.85998,-66.91858
311,LA RIOJA,CHAMICAL,15666,5317,94.8,60.3,13.1,71.5,76.4,12.7,93.5,42.5,-30.16771,-65.95629
312,LA RIOJA,CHILECITO,58798,18531,96.0,59.1,1.7,71.5,77.2,12.1,93.5,47.4,-29.39594,-67.42789
313,LA RIOJA,FAMATINA,7002,2404,93.1,2.8,0.6,62.7,79.3,7.6,95.0,39.5,-28.6973,-67.55929
314,LA RIOJA,GENERAL BELGRANO,7618,2633,95.1,3.2,1.9,59.6,75.0,12.9,94.0,46.3,-30.57769,-65.93163
315,LA RIOJA,CORONEL FELIPE VARELA,11372,3681,91.5,1.2,1.4,67.8,78.7,8.6,94.8,48.6,-29.4498,-68.32848
316,LA RIOJA,GENERAL JUAN F. QUIROGA,4017,1299,87.9,12.5,1.2,61.1,84.2,6.4,92.5,42.8,-30.80096,-66.8681
317,LA RIOJA,GENERAL LAMADRID,1886,612,96.4,0.0,1.0,68.1,85.4,5.2,96.5,45.2,-28.79044,-68.69775
318,LA RIOJA,GENERAL OCAMPO,7349,2589,47.5,2.0,0.4,56.1,79.8,9.9,94.6,43.9,-31.00664,-66.05905
319,LA RIOJA,GENERAL SAN MARTÍN,5019,1594,77.4,0.8,0.7,59.8,82.4,7.6,93.8,50.7,-31.64131,-66.14598
320,LA RIOJA,INDEPENDENCIA,2401,742,73.5,0.9,0.1,54.9,86.3,5.1,92.2,48.7,-30.11446,-67.33552
321,LA RIOJA,ROSARIO VERA PEÑALOZA,15783,5331,84.2,1.2,1.4,69.9,75.2,13.0,93.7,51.0,-31.4206,-66.67886
322,LA RIOJA,SAN BLAS DE LOS SAUCES,4314,1436,91.6,1.1,0.4,65.3,83.0,4.3,97.1,41.9,-28.54333,-67.15815
323,LA RIOJA,SANAGASTA,3038,927,95.5,2.2,0.4,78.3,79.1,6.7,92.5,35.1,-29.15853,-67.06588
324,LA RIOJA,VINCHINA,2699,935,93.5,1.1,0.9,69.4,80.5,7.0,97.1,35.5,-28.31642,-68.5254
325,MENDOZA,CAPITAL,127160,48953,96.9,95.0,81.5,82.8,50.4,33.6,93.7,25.9,-32.88065,-68.89217
326,MENDOZA,GENERAL ALVEAR,52584,18200,94.9,48.6,57.9,69.8,66.3,18.6,92.8,41.8,-35.21784,-67.08045
327,MENDOZA,GODOY CRUZ,195159,67442,98.0,95.7,84.4,81.8,58.5,24.9,95.0,29.4,-32.92976,-68.88908
328,MENDOZA,GUAYMALLÉN,321966,102156,93.8,82.1,73.1,79.9,60.0,22.7,94.1,37.5,-32.89104,-68.73237
329,MENDOZA,JUNÍN,46604,14160,94.1,49.2,49.5,65.3,63.2,13.8,93.9,37.5,-33.14621,-68.48034
330,MENDOZA,LA PAZ,12086,3896,92.4,55.5,58.3,58.7,74.6,11.8,95.6,36.7,-33.71147,-67.24754
331,MENDOZA,LAS HERAS,234401,69841,91.8,86.4,66.4,72.5,62.5,17.9,92.7,41.1,-32.52477,-69.26718
332,MENDOZA,LAVALLE,47167,13770,86.6,25.5,23.7,56.1,65.5,9.5,93.3,54.6,-32.58259,-67.88907
333,MENDOZA,LUJÁN DE CUYO,175056,52742,87.9,55.8,64.6,79.2,66.4,15.0,93.7,29.5,-33.03825,-69.44371
334,MENDOZA,MAIPÚ,219402,65240,91.0,55.6,60.5,76.7,65.2,15.4,92.3,38.2,-32.97751,-68.65217
335,MENDOZA,MALARGÜE,32717,11011,89.1,2.5,72.7,75.3,68.6,16.1,95.0,36.3,-36.15727,-69.31351
336,MENDOZA,RIVADAVIA,63724,19923,94.9,48.2,54.7,62.2,63.0,14.2,94.5,42.1,-33.41971,-68.61218
337,MENDOZA,SAN CARLOS,39869,12529,83.9,44.5,48.9,67.8,61.3,16.7,93.5,47.2,-34.07537,-69.0977
338,MENDOZA,SAN MARTÍN,139792,42374,91.8,60.0,48.3,65.0,61.8,15.3,92.3,42.4,-32.90888,-68.28442
339,MENDOZA,SAN RAFAEL,215020,72750,94.1,47.5,54.2,77.8,61.3,20.1,93.2,39.9,-34.94454,-68.38268
340,MENDOZA,SANTA ROSA,19382,5975,75.9,8.8,34.9,59.0,62.2,9.7,96.0,36.7,-33.61779,-67.96366
341,MENDOZA,TUNUYÁN,60171,18666,88.3,63.6,49.8,67.6,60.0,19.6,91.7,44.3,-33.62233,-69.50781
342,MENDOZA,TUPUNGATO,41280,12556,87.8,46.9,40.5,65.5,59.4,18.0,91.2,52.3,-33.29151,-69.30197
343,MISIONES,APÓSTOLES,50597,16251,88.5,8.8,1.6,48.3,75.5,11.9,89.9,46.5,-27.8888,-55.67827
344,MISIONES,CAINGUÁS,59953,19569,68.4,3.9,1.9,47.4,81.2,8.6,86.3,51.9,-27.14783,-54.80234
345,MISIONES,CANDELARIA,35318,11424,85.4,5.1,1.5,45.3,79.6,6.2,89.1,53.9,-27.46085,-55.58269
346,MISIONES,CAPITAL,392919,134385,94.9,54.8,4.7,77.9,70.5,15.3,92.6,38.5,-27.55078,-55.85685
347,MISIONES,CONCEPCIÓN,10348,3260,78.1,6.9,2.0,45.2,78.4,8.2,83.6,49.7,-27.93117,-55.46704
348,MISIONES,ELDORADO,91728,31013,88.6,8.9,1.8,46.4,73.8,13.7,89.9,37.5,-26.31384,-54.44074
349,MISIONES,GENERAL MANUEL BELGRANO,45570,14524,58.3,5.4,1.3,63.5,82.1,9.1,83.0,61.5,-25.97863,-53.96366
350,MISIONES,GUARANÍ,77160,25190,38.7,3.3,1.8,56.2,83.4,9.0,81.2,56.0,-27.02623,-54.26937
351,MISIONES,IGUAZÚ,100096,32205,73.6,14.6,1.4,58.4,78.5,11.6,88.3,51.5,-25.87474,-54.40042
352,MISIONES,LEANDRO N. ALEM,49797,17090,72.8,5.2,1.9,57.0,76.0,12.2,88.1,41.8,-27.63067,-55.38807
353,MISIONES,LIBERTADOR GENERAL SAN MARTÍN,52428,17674,84.8,23.8,1.6,53.9,73.0,13.9,89.7,51.0,-26.89314,-54.92336
354,MISIONES,MONTECARLO,38669,12707,80.3,25.8,1.9,48.3,78.8,9.9,89.8,48.4,-26.65791,-54.56318
355,MISIONES,OBERÁ,121701,40953,75.7,27.6,1.9,64.2,73.4,13.7,88.6,44.5,-27.47636,-55.07122
356,MISIONES,SAN IGNACIO,63394,20929,84.2,5.5,1.4,50.5,78.1,9.2,89.3,55.7,-27.17659,-55.33929
357,MISIONES,SAN JAVIER,23503,7617,74.4,12.0,2.7,53.1,81.4,7.7,86.3,48.3,-27.7771,-55.16746
358,MISIONES,SAN PEDRO,34801,10587,45.8,2.2,1.1,53.2,86.7,6.0,80.0,68.6,-26.62996,-53.96298
359,MISIONES,25DE MAYO,30891,10289,52.7,2.6,1.1,43.8,84.1,7.7,81.1,51.1,-27.37861,-54.63409
360,NEUQUÉN,ALUMINÉ,10244,3696,74.5,41.3,58.9,77.8,65.0,18.7,93.7,38.6,-39.13149,-71.04632
361,NEUQUÉN,AÑELO,18166,6158,80.7,59.4,65.5,64.8,60.7,21.1,90.3,38.9,-38.09865,-69.01276
362,NEUQUÉN,CATÁN LIL,2676,913,45.8,23.5,34.3,48.2,77.1,6.7,85.0,44.4,-39.48079,-70.43356
363,NEUQUÉN,CHOS MALAL,18368,6909,93.4,72.3,86.6,77.7,67.5,19.9,95.9,34.4,-36.88049,-70.28628
364,NEUQUÉN,COLLÓN CURÁ,4835,1736,89.3,82.1,85.3,65.4,63.8,17.4,94.3,32.9,-40.05292,-70.28135
365,NEUQUÉN,CONFLUENCIA,468794,170634,95.5,80.4,86.9,80.0,66.5,20.6,94.6,30.2,-38.83253,-68.79301
366,NEUQUÉN,HUILICHES,20973,7086,86.2,78.2,78.4,74.2,56.4,25.2,90.0,37.0,-39.79468,-71.259
367,NEUQUÉN,LÁCAR,39596,14971,90.2,78.5,85.1,83.7,58.4,27.2,96.1,31.4,-40.31423,-71.18425
368,NEUQUÉN,LONCOPUÉ,7698,2620,85.3,72.1,72.4,59.2,72.6,14.0,92.9,33.0,-38.06591,-70.31406
369,NEUQUÉN,LOS LAGOS,15555,5932,92.0,21.7,81.6,73.4,54.6,28.5,96.6,34.4,-40.77439,-71.4867
370,NEUQUÉN,MINAS,9267,3574,86.0,49.9,72.3,66.7,76.5,14.1,95.6,29.4,-36.85839,-70.78366
371,NEUQUÉN,ÑORQUÍN,5609,2068,86.9,44.8,70.1,56.6,75.9,13.4,94.4,28.0,-37.63788,-70.67778
372,NEUQUÉN,PEHUENCHES,29753,10508,84.7,60.4,86.0,65.9,67.7,22.3,94.1,29.6,-37.39844,-69.40195
373,NEUQUÉN,PICÚN LEUFÚ,5087,1894,81.4,65.7,66.2,55.4,73.0,13.2,95.2,39.0,-39.40399,-69.42719
374,NEUQUÉN,PICUNCHES,8495,2960,88.5,63.0,75.7,71.4,67.3,16.0,94.1,31.8,-38.57427,-70.37293
375,NEUQUÉN,ZAPALA,45698,15722,93.9,82.7,85.8,68.4,66.6,17.1,93.0,33.8,-38.92204,-69.82221
376,RÍO NEGRO,ADOLFO ALSINA,64482,24254,96.5,87.2,89.5,85.2,61.1,23.1,96.3,30.2,-40.79175,-63.76509
377,RÍO NEGRO,AVELLANEDA,41352,14951,92.6,82.3,86.3,70.6,64.3,20.8,93.7,41.2,-39.41019,-66.20626
378,RÍO NEGRO,BARILOCHE,162088,63087,91.5,57.7,83.0,73.6,64.5,21.4,96.0,32.6,-41.49812,-71.53108
379,RÍO NEGRO,CONESA,7429,2721,90.6,44.3,83.5,75.4,66.4,20.3,93.6,49.4,-40.14872,-64.30489
380,RÍO NEGRO,EL CUY,6960,2648,55.4,2.1,1.1,51.8,78.2,9.9,87.9,46.4,-39.70164,-68.4846
381,RÍO NEGRO,GENERAL ROCA,380525,138563,93.0,74.7,82.6,75.9,65.6,19.9,93.9,33.6,-38.53249,-67.55448
382,RÍO NEGRO,9 DE JULIO,3719,1453,71.6,5.4,55.1,61.3,73.5,11.3,94.2,43.4,-40.92564,-67.45749
383,RÍO NEGRO,ÑORQUINCO,1452,597,61.1,1.5,33.3,28.5,71.1,8.4,90.4,51.2,-41.73983,-70.40111
384,RÍO NEGRO,PICHI MAHUIDA,16551,6257,88.6,54.1,89.6,64.0,70.2,16.1,94.8,40.9,-39.40768,-64.40059
385,RÍO NEGRO,PILCANIYEU,9373,3589,86.7,9.1,77.1,70.3,68.9,17.2,96.9,27.2,-40.88758,-70.46269
386,RÍO NEGRO,SAN ANTONIO,35800,13177,98.2,55.9,89.9,80.8,60.5,22.1,95.0,38.5,-40.95279,-65.37125
387,RÍO NEGRO,VALCHETA,4319,1631,85.5,41.8,78.2,69.4,69.3,13.8,94.5,40.1,-40.97458,-66.31089
388,RÍO NEGRO,25 DE MAYO,16718,6007,88.4,20.5,78.8,65.3,68.4,14.8,91.6,43.5,-41.13308,-68.90632
389,SALTA,ANTA,70170,19357,89.3,38.7,16.4,44.6,77.7,7.3,86.2,55.1,-24.87513,-63.8401
390,SALTA,CACHI,8948,2702,75.4,34.3,2.6,44.8,71.1,10.1,93.0,59.3,-25.03823,-66.20303
391,SALTA,CAFAYATE,17829,5183,90.0,85.3,0.5,72.0,68.7,13.9,94.7,21.2,-26.12551,-65.88009
392,SALTA,CAPITAL,627704,188314,96.4,88.4,65.4,82.1,69.5,15.6,93.4,39.6,-24.89023,-65.27027
393,SALTA,CERRILLOS,55949,15211,89.7,46.5,34.3,65.2,72.6,7.8,92.5,46.0,-24.98855,-65.40384
394,SALTA,CHICOANA,24729,6847,88.6,46.5,19.5,49.1,64.1,9.3,93.5,42.8,-25.15147,-65.60593
395,SALTA,GENERAL GÜEMES,56166,15595,94.1,61.9,45.1,57.5,71.8,10.0,91.1,47.9,-24.76482,-64.9561
396,SALTA,GENERAL JOSÉ DE SAN MARTÍN,178004,50449,89.5,56.9,39.7,43.5,80.8,7.6,88.0,62.2,-22.71695,-63.66274
397,SALTA,GUACHIPAS,3491,1098,72.6,54.9,0.0,33.1,66.0,7.6,94.9,45.4,-25.70295,-65.44454
398,SALTA,IRUYA,6118,1847,64.6,25.3,1.8,47.4,80.4,8.7,85.4,58.8,-22.81484,-64.92022
399,SALTA,LA CALDERA,12299,4003,69.8,3.8,26.7,70.5,74.7,9.0,95.3,31.2,-24.56239,-65.4301
400,SALTA,LA CANDELARIA,7205,2190,90.9,9.5,0.3,18.3,74.8,7.9,85.0,46.4,-26.08387,-65.17659
401,SALTA,LA POMA,1789,549,55.4,14.8,6.7,37.5,78.2,8.2,90.3,52.7,-24.14688,-66.20731
402,SALTA,LA VIÑA,8900,2667,87.5,35.7,12.4,43.8,71.6,6.9,94.5,46.1,-25.44759,-65.58076
403,SALTA,LOS ANDES,7182,1865,88.4,64.0,49.2,68.5,71.1,12.9,88.5,44.9,-24.64244,-67.34403
404,SALTA,METÁN,48245,13857,92.6,74.7,40.2,53.8,71.3,10.9,90.9,46.7,-25.42517,-64.58814
405,SALTA,MOLINOS,5820,1547,63.5,28.5,0.3,53.3,74.2,4.9,91.9,57.1,-25.56436,-66.45491
406,SALTA,ORÁN,160642,44245,91.2,72.4,31.9,40.0,79.8,6.8,87.8,58.3,-23.49877,-64.15102
407,SALTA,RIVADAVIA,38113,11075,60.3,5.8,0.8,15.5,91.1,2.8,80.5,75.7,-23.51284,-62.83038
408,SALTA,ROSARIO DE LA FRONTERA,33809,10384,89.7,73.0,42.8,42.8,75.8,8.0,92.0,49.1,-25.87187,-64.72789
409,SALTA,ROSARIO DE LERMA,51028,14173,87.7,35.9,36.3,56.8,71.5,9.1,91.6,44.0,-24.54629,-65.85309
410,SALTA,SAN CARLOS,7798,2324,58.3,51.9,0.7,57.4,63.7,6.4,92.0,27.9,-25.82769,-66.17424
411,SALTA,SANTA VICTORIA,9413,2948,58.3,30.9,1.0,39.3,84.4,8.6,87.4,61.9,-22.39583,-64.89564
412,SAN JUAN,ALBARDÓN,31284,8950,93.9,19.7,19.7,61.8,70.9,8.6,92.4,53.0,-31.20963,-68.45198
413,SAN JUAN,ANGACO,10176,2925,90.1,32.0,8.3,59.4,61.0,6.1,93.7,52.2,-31.19222,-68.13196
414,SAN JUAN,CALINGASTA,11034,3308,94.7,2.4,0.5,48.2,64.7,12.9,93.4,45.9,-31.45337,-69.8338
415,SAN JUAN,CAPITAL,115390,42112,98.0,85.9,77.4,76.8,53.7,28.4,94.0,28.0,-31.53307,-68.53429
416,SAN JUAN,CAUCETE,44047,12527,91.7,65.6,48.7,58.4,63.2,10.2,93.1,55.5,-31.50638,-67.54586
417,SAN JUAN,CHIMBAS,105627,28926,96.0,29.5,55.2,56.6,69.3,10.3,91.5,49.0,-31.48742,-68.52393
418,SAN JUAN,IGLESIA,8845,2652,95.0,14.4,0.4,51.8,70.5,9.6,92.5,44.9,-29.60669,-69.43795
419,SAN JUAN,JÁCHAL,25297,7686,93.1,16.2,0.9,59.5,63.6,11.3,94.2,47.5,-30.35508,-68.44127
420,SAN JUAN,9 DE JULIO,12514,3477,88.1,23.7,8.0,54.1,70.8,5.9,88.0,54.1,-31.6458,-68.38905
421,SAN JUAN,POCITO,72915,20453,89.1,30.1,40.4,52.4,69.1,8.0,89.7,53.3,-31.74596,-68.58421
422,SAN JUAN,RAWSON,136617,40213,94.5,51.2,62.1,64.5,63.9,14.2,92.6,44.2,-31.68659,-68.46756
423,SAN JUAN,RIVADAVIA,101666,31184,98.1,43.6,69.0,72.6,65.0,16.6,91.9,36.1,-31.55423,-68.64162
424,SAN JUAN,SAN MARTÍN,15037,4076,88.1,38.5,0.8,55.5,62.3,8.0,91.5,53.9,-31.52854,-68.20729
425,SAN JUAN,SANTA LUCÍA,62729,18755,97.4,65.1,56.4,65.7,63.6,16.2,90.6,38.6,-31.53272,-68.46341
426,SAN JUAN,SARMIENTO,27188,7560,88.2,27.7,0.6,55.7,71.0,8.8,90.5,56.0,-32.07354,-68.69114
427,SAN JUAN,ULLUM,6454,1926,93.6,8.5,1.2,52.9,73.4,3.7,91.2,51.6,-31.09046,-68.88158
428,SAN JUAN,VALLE FÉRTIL,8526,2823,87.9,7.5,1.5,47.4,75.1,8.6,91.4,50.6,-30.7123,-67.5323
429,SAN JUAN,25 DE MAYO,20824,5590,79.9,28.6,0.6,52.8,70.9,3.5,91.3,63.0,-31.98962,-67.8274
430,SAN JUAN,ZONDA,6683,1951,89.6,4.0,0.8,56.3,74.3,4.5,91.5,49.7,-31.6382,-68.95557
431,SAN LUIS,AYACUCHO,23913,8042,92.2,37.5,11.1,72.0,64.8,16.2,90.1,42.8,-32.16566,-66.54225
432,SAN LUIS,BELGRANO,5583,2024,65.1,21.0,1.5,69.1,70.5,8.1,89.9,37.6,-32.73561,-66.71501
433,SAN LUIS,CHACABUCO,26557,9578,92.3,56.0,39.6,77.7,64.9,19.1,89.0,40.1,-32.72697,-65.19824
434,SAN LUIS,CORONEL PRINGLES,16049,5796,88.3,50.3,29.9,71.5,63.8,15.0,93.9,40.0,-33.10688,-65.90079
435,SAN LUIS,GENERAL PEDERNERA,148875,50809,94.2,88.6,58.8,82.1,64.2,17.3,93.1,39.4,-33.89055,-65.56285
436,SAN LUIS,GOBERNADOR DUPUY,14343,4790,70.6,30.6,0.6,70.5,70.3,11.7,87.2,49.4,-35.36909,-65.81482
437,SAN LUIS,JUAN MARTÍN DE PUEYRREDÓN,261697,87426,95.8,87.1,60.4,78.3,66.1,19.0,93.3,32.0,-33.90088,-66.50258
438,SAN LUIS,JUNÍN,40361,15332,95.1,12.0,33.1,75.9,61.0,25.3,92.9,47.2,-32.21655,-65.39396
439,SAN LUIS,LIBERTADOR GENERAL SAN MARTÍN,4691,1752,51.3,31.1,0.7,59.8,71.8,6.7,88.9,39.2,-32.57842,-65.70959
440,SANTA CRUZ,CORPEN AIKE,15171,5528,98.3,80.9,96.1,82.4,52.5,32.2,97.6,14.2,-49.94748,-69.44695
441,SANTA CRUZ,DESEADO,126743,44139,82.5,75.4,93.5,79.4,64.2,24.1,94.9,19.4,-47.33052,-68.02908
442,SANTA CRUZ,GÜER AIKE,137895,48687,92.2,84.6,94.7,89.9,60.0,26.8,95.2,15.2,-51.41341,-70.56182
443,SANTA CRUZ,LAGO ARGENTINO,25586,9499,98.2,71.4,90.1,87.3,54.8,35.4,95.4,17.7,-49.83649,-72.06547
444,SANTA CRUZ,LAGO BUENOS AIRES,12606,4594,95.0,78.5,78.3,87.5,55.0,31.4,95.3,14.4,-46.8341,-70.63141
445,SANTA CRUZ,MAGALLANES,12911,4577,97.7,86.7,92.4,84.7,57.2,29.2,94.8,14.7,-48.83834,-68.46816
446,SANTA CRUZ,RÍO CHICO,6314,2238,92.3,86.1,83.3,89.9,57.6,25.0,94.5,15.8,-48.28733,-71.11384
447,SANTA FE,BELGRANO,48781,17431,86.4,75.1,56.3,78.3,71.0,16.2,94.0,24.6,-32.6103,-61.7043
448,SANTA FE,CASEROS,86912,33265,84.4,57.1,53.1,76.5,72.6,16.3,94.9,26.4,-33.2215,-61.53102
449,SANTA FE,CASTELLANOS,190577,68784,81.0,60.3,29.8,82.1,62.9,23.0,93.8,27.6,-31.23141,-61.65696
450,SANTA FE,VILLA CONSTITUCIÓN,93441,33343,94.9,57.2,47.9,76.1,71.6,14.3,93.1,28.0,-33.48558,-60.85138
451,SANTA FE,GARAY,24927,8226,53.6,3.4,1.1,50.4,76.0,10.4,90.5,50.5,-31.05464,-60.12581
452,SANTA FE,GENERAL LÓPEZ,201574,77047,61.9,47.5,55.7,79.0,65.7,20.2,93.7,31.7,-33.92515,-61.945
453,SANTA FE,GENERAL OBLIGADO,197986,66345,82.2,44.2,5.0,70.4,74.5,13.2,90.4,44.2,-28.67197,-59.52665
454,SANTA FE,IRIONDO,74504,27244,87.0,67.4,48.4,77.6,68.4,16.8,94.1,29.0,-32.70608,-61.27339
455,SANTA FE,LA CAPITAL,572265,205760,86.9,54.4,45.6,79.6,68.1,17.7,93.2,31.6,-31.47536,-60.66948
456,SANTA FE,LAS COLONIAS,115740,42750,89.0,63.8,53.2,79.0,63.6,21.8,94.0,24.6,-31.31534,-61.10948
457,SANTA FE,9 DE JULIO,30995,10768,37.6,11.1,5.6,60.1,71.5,11.4,91.8,48.7,-28.84961,-61.39835
458,SANTA FE,ROSARIO,1348725,503575,93.7,72.7,63.9,77.7,66.0,19.4,92.9,27.2,-33.12786,-60.71084
459,SANTA FE,SAN CRISTÓBAL,72801,26167,36.5,28.0,2.1,69.5,62.0,16.5,91.8,39.3,-30.22832,-61.36002
460,SANTA FE,SAN JAVIER,33274,11369,72.0,17.3,0.9,55.5,75.7,9.9,90.7,48.3,-30.10415,-59.89807
461,SANTA FE,SAN JERÓNIMO,87307,30513,85.2,46.6,31.9,75.1,69.6,13.8,92.2,33.5,-32.15377,-61.04813
462,SANTA FE,SAN JUSTO,46665,16699,93.4,51.2,2.1,69.3,68.8,16.8,94.3,38.1,-30.53042,-60.48869
463,SANTA FE,SAN LORENZO,194580,66746,90.9,42.6,51.3,76.4,72.6,13.8,93.2,27.7,-32.94231,-60.9615
464,SANTA FE,SAN MARTÍN,67827,25283,39.4,67.7,46.1,79.1,67.7,18.0,93.5,26.2,-32.01258,-61.80825
465,SANTA FE,VERA,56027,18652,86.3,32.3,1.2,65.3,74.3,10.1,90.2,47.9,-28.96993,-60.41354
466,SANTIAGO DEL ESTERO,AGUIRRE,8970,2990,34.0,1.9,0.5,24.3,82.5,7.0,89.0,64.5,-29.29787,-62.51534
467,SANTIAGO DEL ESTERO,ALBERDI,20104,5683,46.8,0.9,0.5,35.9,90.3,3.7,79.9,68.9,-26.52105,-62.72747
468,SANTIAGO DEL ESTERO,ATAMISQUI,14903,4120,49.2,0.7,0.7,22.5,94.9,1.1,88.5,75.0,-28.69182,-63.88156
469,SANTIAGO DEL ESTERO,AVELLANEDA,25476,7204,43.5,1.0,0.8,19.9,89.7,2.4,84.3,75.8,-28.55536,-63.20377
470,SANTIAGO DEL ESTERO,BANDA,170651,50396,93.3,30.4,26.7,53.6,86.4,4.3,90.7,53.3,-27.43471,-64.20987
471,SANTIAGO DEL ESTERO,BELGRANO,10813,3400,19.0,1.9,0.6,59.4,75.5,10.6,89.2,56.5,-29.0814,-62.21877
472,SANTIAGO DEL ESTERO,CAPITAL,330112,100899,97.3,47.7,52.4,74.5,81.9,7.0,93.8,41.0,-27.88477,-64.43567
473,SANTIAGO DEL ESTERO,CHOYA,43736,13763,89.8,53.5,32.0,39.3,82.6,6.4,92.2,52.1,-28.75363,-64.7639
474,SANTIAGO DEL ESTERO,COPO,35741,10756,61.7,1.8,0.5,41.1,89.3,3.2,83.5,71.4,-25.93925,-62.7305
475,SANTIAGO DEL ESTERO,FIGUEROA,20270,6115,33.7,0.3,0.3,11.7,95.2,0.7,83.9,73.9,-27.32186,-63.57963
476,SANTIAGO DEL ESTERO,GENERAL TABOADA,46508,13478,74.6,1.4,0.8,43.4,85.1,4.2,83.4,65.0,-28.56828,-62.33883
477,SANTIAGO DEL ESTERO,GUASAYÁN,9255,2948,79.9,0.9,1.9,19.7,88.9,2.6,87.5,59.1,-27.97677,-64.87115
478,SANTIAGO DEL ESTERO,JIMÉNEZ,18625,5696,75.4,1.6,1.5,18.1,91.2,1.7,87.7,53.8,-26.89959,-64.27252
479,SANTIAGO DEL ESTERO,JUAN F. IBARRA,20589,5636,68.5,1.1,0.9,23.7,91.6,2.3,88.5,71.3,-28.0395,-62.54401
480,SANTIAGO DEL ESTERO,LORETO,24060,6822,68.0,2.3,0.7,24.3,90.0,3.6,90.5,63.1,-28.62448,-64.31073
481,SANTIAGO DEL ESTERO,MITRE,1440,510,3.3,0.6,0.6,12.0,89.5,1.8,81.8,72.7,-29.61507,-62.73868
482,SANTIAGO DEL ESTERO,MORENO,40460,11144,68.4,2.7,0.4,28.1,85.5,5.5,84.1,65.3,-27.29814,-62.46333
483,SANTIAGO DEL ESTERO,OJO DE AGUA,15116,4873,39.9,0.8,1.2,10.3,84.9,6.7,86.8,63.3,-29.30409,-64.01499
484,SANTIAGO DEL ESTERO,PELLEGRINI,26193,7974,71.0,2.0,0.9,25.7,90.6,3.4,84.9,68.5,-26.22033,-64.09121
485,SANTIAGO DEL ESTERO,QUEBRACHOS,12354,3756,67.0,4.4,1.9,15.7,84.1,6.4,81.1,66.1,-29.3823,-63.35351
486,SANTIAGO DEL ESTERO,RÍO HONDO,66761,20231,59.3,53.3,12.4,25.9,88.9,3.0,87.4,62.1,-27.48541,-64.76019
487,SANTIAGO DEL ESTERO,RIVADAVIA,5315,1817,34.8,1.7,0.6,65.4,67.3,9.5,93.4,49.5,-30.02056,-62.28045
488,SANTIAGO DEL ESTERO,ROBLES,54015,15633,90.3,8.7,1.7,22.6,86.8,4.2,86.4,66.7,-27.85394,-63.90751
