,Provincia,Depto,Población,Cantidad de hogares,Hogares con agua corriente de red (%),Hogares con cloacas (%),Hogares con gas de red (%),Hogares con acceso a internet (%),Población con vivienda propia (%),Población inquilina (%),Escolaridad de menores de entre 3-17 años (%),Población sin cobertura de salud (%),Latitud,Longitud
153,CATAMARCA,ANDALGALÁ,19678,6110,94.4,22.9,0.3,31.4,83.8,5.6,91.9,43.8,-27.54451,-66.35601
154,CATAMARCA,ANTOFAGASTA DE LA SIERRA,2022,629,87.3,37.5,0.6,46.1,76.5,6.5,91.5,27.9,-25.94558,-67.67776
155,CATAMARCA,BELÉN,30569,9563,90.0,52.7,0.7,59.6,80.9,8.3,92.5,48.2,-27.10005,-66.92238
156,CATAMARCA,CAPAYÁN,19885,5805,74.5,4.0,0.8,39.7,85.6,3.7,89.8,43.4,-28.90923,-65.90157
157,CATAMARCA,CAPITAL,186947,59691,98.3,90.2,30.4,82.6,79.9,10.4,94.3,36.3,-28.41046,-65.8362
158,CATAMARCA,EL ALTO,4375,1477,82.5,3.7,0.6,24.0,85.7,4.4,92.5,43.7,-28.43038,-65.35992
159,CATAMARCA,FRAY MAMERTO ESQUIÚ,14625,4261,98.3,9.6,9.8,69.1,85.1,4.7,94.0,33.9,-28.33294,-65.7309
160,CATAMARCA,LA PAZ,26370,8389,91.1,25.1,4.4,25.3,84.1,7.1,91.3,48.2,-29.3952,-65.19195
161,CATAMARCA,PACLÍN,4725,1504,90.4,39.2,0.5,52.9,84.1,4.1,94.5,34.9,-28.11005,-65.67388
162,CATAMARCA,POMÁN,12260,3827,88.5,1.1,0.6,39.0,84.6,6.7,93.6,37.0,-28.2056,-66.4073
163,CATAMARCA,SANTA MARÍA,26929,8495,93.3,38.6,0.5,68.3,76.7,9.2,96.3,48.4,-26.7859,-66.26188
164,CATAMARCA,SANTA ROSA,13322,4187,90.2,1.3,1.2,32.1,84.4,5.1,92.8,50.9,-28.08147,-65.33495
165,CATAMARCA,TINOGASTA,25395,7962,88.8,25.0,1.1,40.8,79.4,6.7,93.2,48.8,-27.54051,-67.92924
166,CATAMARCA,VALLE VIEJO,34029,10416,97.5,3.0,12.9,72.9,84.1,6.0,94.0,36.0,-28.59871,-65.70718
167,CHACO,ALMIRANTE BROWN,37851,11475,39.1,1.8,0.8,52.1,82.7,6.3,86.7,65.7,-25.74786,-61.96052
168,CHACO,BERMEJO,28144,9500,86.1,16.8,0.7,51.1,81.7,6.0,90.9,49.9,-26.95864,-58.70936
169,CHACO,CHACABUCO,34598,11506,20.2,9.7,1.3,65.5,75.5,11.0,89.8,52.7,-27.11793,-61.30889
170,CHACO,COMANDANTE FERNÁNDEZ,101960,33950,79.5,34.2,1.4,57.9,75.9,10.2,90.3,51.8,-26.78714,-60.46187
171,CHACO,12 DE OCTUBRE,23222,7526,25.7,1.5,0.5,59.6,76.0,9.4,91.0,59.9,-27.33624,-61.47477
172,CHACO,2 DE ABRIL,8319,2979,1.7,1.5,0.7,64.2,74.6,12.7,88.8,61.7,-27.62191,-61.32952
173,CHACO,FRAY JUSTO SANTA MARÍA DE ORO,10653,3641,33.6,2.4,1.8,63.6,74.6,9.8,90.9,55.0,-27.86625,-61.30096
